barrio,poligono
19,"[(-58.5586025, -34.4601107),  (-58.5579553, -34.4597786),  (-58.5572971, -34.4594554),  (-58.5556134, -34.4586468),  (-58.5546223, -34.4590091),  (-58.5544630, -34.4590974),  (-58.5537983, -34.4594681),  (-58.5536529, -34.4596962),  (-58.5530619, -34.4605230),  (-58.5546594, -34.4612810),  (-58.5552693, -34.4615631),  (-58.5556904, -34.4617574),  (-58.5559063, -34.4618591),  (-58.5561533, -34.4620513),  (-58.5562228, -34.4621197),  (-58.5563089, -34.4621748),  (-58.5564499, -34.4622035),  (-58.5571238, -34.4625675),  (-58.5579498, -34.4629468),  (-58.5587816, -34.4633037),  (-58.5589488, -34.4630713),  (-58.5593893, -34.4624545),  (-58.5599355, -34.4616993),  (-58.5593633, -34.4614312),  (-58.5580731, -34.4608391),  (-58.5586025, -34.4601107)]"
20,"[(-58.5621805, -34.4618294),  (-58.5616891, -34.4625582),  (-58.5611373, -34.4633269),  (-58.5605839, -34.4641812),  (-58.5600276, -34.4648912),  (-58.5610315, -34.4653673),  (-58.5617654, -34.4657274),  (-58.5622784, -34.4650034),  (-58.5628475, -34.4641808),  (-58.5626154, -34.4640699),  (-58.5637022, -34.4625684),  (-58.5629898, -34.4622265),  (-58.5629252, -34.4621897),  (-58.5621805, -34.4618294)]"
21,"[(-58.5669808, -34.4515652),  (-58.5665330, -34.4522991),  (-58.5663170, -34.4522064),  (-58.5661010, -34.4521137),  (-58.5656316, -34.4528383),  (-58.5666038, -34.4532553),  (-58.5662234, -34.4538638),  (-58.5661788, -34.4539264),  (-58.5671294, -34.4543341),  (-58.5675815, -34.4536634),  (-58.5680341, -34.4529656),  (-58.5684986, -34.4522094),  (-58.5669808, -34.4515652)]"
22,"[(-58.5709152, -34.4435260),  (-58.5702094, -34.4440856),  (-58.5701434, -34.4441299),  (-58.5693822, -34.4447430),  (-58.5701326, -34.4454007),  (-58.5708937, -34.4460676),  (-58.5716389, -34.4467118),  (-58.5724372, -34.4474332),  (-58.5732145, -34.4468339),  (-58.5739656, -34.4461711),  (-58.5731770, -34.4455174),  (-58.5724375, -34.4448598),  (-58.5716764, -34.4441929),  (-58.5709152, -34.4435260)]"
23,"[(-58.5764949, -34.4468360),  (-58.5762035, -34.4473374),  (-58.5757662, -34.4480985),  (-58.5756207, -34.4483401),  (-58.5753403, -34.4488326),  (-58.5750936, -34.4492624),  (-58.5743490, -34.4489022),  (-58.5740809, -34.4493137),  (-58.5736793, -34.4498949),  (-58.5732777, -34.4504761),  (-58.5728650, -34.4510662),  (-58.5724633, -34.4516564),  (-58.5731870, -34.4519713),  (-58.5739538, -34.4523047),  (-58.5743102, -34.4524621),  (-58.5748179, -34.4526844),  (-58.5750016, -34.4527586),  (-58.5751959, -34.4522111),  (-58.5757848, -34.4508479),  (-58.5761357, -34.4500497),  (-58.5766650, -34.4489923),  (-58.5773545, -34.4477970),  (-58.5776401, -34.4473136),  (-58.5764949, -34.4468360)]"
24,"[(-58.5947450, -34.4612302),  (-58.5953549, -34.4641261),  (-58.5956272, -34.4654091),  (-58.5957395, -34.4658521),  (-58.5959416, -34.4667783),  (-58.5994913, -34.4679728),  (-58.5991155, -34.4673420),  (-58.5990996, -34.4673148),  (-58.5990417, -34.4672015),  (-58.5989574, -34.4670338),  (-58.5989522, -34.4670202),  (-58.5989440, -34.4662044),  (-58.5989450, -34.4661503),  (-58.5989485, -34.4652895),  (-58.6001178, -34.4643430),  (-58.6000919, -34.4636126),  (-58.6000714, -34.4635402),  (-58.5997663, -34.4625858),  (-58.5997106, -34.4623373),  (-58.5996392, -34.4620480),  (-58.5992209, -34.4607092),  (-58.5991718, -34.4607176),  (-58.5987243, -34.4607936),  (-58.5978807, -34.4608065),  (-58.5968958, -34.4608132),  (-58.5965039, -34.4608177),  (-58.5954179, -34.4606881),  (-58.5947450, -34.4612302)]"
25,"[(-58.5787198, -34.4567950),  (-58.5782948, -34.4574751),  (-58.5778699, -34.4581461),  (-58.5774450, -34.4588172),  (-58.5776124, -34.4588913),  (-58.5783202, -34.4591879),  (-58.5784498, -34.4592435),  (-58.5790656, -34.4595076),  (-58.5794978, -34.4596884),  (-58.5798220, -34.4598273),  (-58.5805566, -34.4601423),  (-58.5812912, -34.4604618),  (-58.5816045, -34.4605962),  (-58.5820258, -34.4607768),  (-58.5828038, -34.4611058),  (-58.5832339, -34.4604438),  (-58.5820942, -34.4599529),  (-58.5820294, -34.4599251),  (-58.5809813, -34.4594803),  (-58.5799226, -34.4590263),  (-58.5803097, -34.4583367),  (-58.5797749, -34.4581097),  (-58.5792887, -34.4579012),  (-58.5797141, -34.4571986),  (-58.5787198, -34.4567950)]"
26,"[(-58.5745605, -34.4678243),  (-58.5740473, -34.4685664),  (-58.5735232, -34.4693084),  (-58.5741710, -34.4696134),  (-58.5742249, -34.4696411),  (-58.5736448, -34.4704726),  (-58.5730367, -34.4713533),  (-58.5766743, -34.4731309),  (-58.5767799, -34.4729969),  (-58.5768359, -34.4729074),  (-58.5773041, -34.4722549),  (-58.5774604, -34.4720223),  (-58.5771378, -34.4711533),  (-58.5770856, -34.4710175),  (-58.5766056, -34.4698041),  (-58.5761152, -34.4685635),  (-58.5759857, -34.4684989),  (-58.5752733, -34.4681481),  (-58.5745717, -34.4678064),  (-58.5745605, -34.4678243)]"
27,"[(-58.5963696, -34.4753417),  (-58.5934766, -34.4755338),  (-58.5916679, -34.4756526),  (-58.5906599, -34.4757221),  (-58.5875229, -34.4758617),  (-58.5866962, -34.4758341),  (-58.5866381, -34.4760543),  (-58.5866084, -34.4761981),  (-58.5864540, -34.4763180),  (-58.5835812, -34.4785337),  (-58.5827857, -34.4792320),  (-58.5828561, -34.4792554),  (-58.5847688, -34.4800752),  (-58.5847794, -34.4800934),  (-58.5848536, -34.4802114),  (-58.5850442, -34.4805246),  (-58.5857383, -34.4816458),  (-58.5859502, -34.4819908),  (-58.5861409, -34.4822995),  (-58.5872193, -34.4828978),  (-58.5873704, -34.4829762),  (-58.5880880, -34.4833450),  (-58.5882067, -34.4834050),  (-58.5885090, -34.4835527),  (-58.5918866, -34.4853042),  (-58.5921133, -34.4854195),  (-58.5924902, -34.4853382),  (-58.5926118, -34.4852270),  (-58.5927619, -34.4850394),  (-58.5937500, -34.4835635),  (-58.5943620, -34.4827729),  (-58.5957692, -34.4816173),  (-58.5967539, -34.4809886),  (-58.5994867, -34.4793209),  (-58.6007108, -34.4783660),  (-58.6000241, -34.4777767),  (-58.5998148, -34.4775986),  (-58.5994017, -34.4772423),  (-58.5990583, -34.4769499),  (-58.5988009, -34.4767216),  (-58.5986398, -34.4765936),  (-58.5985327, -34.4764887),  (-58.5979543, -34.4759277),  (-58.5978658, -34.4756879),  (-58.5978468, -34.4755209),  (-58.5978079, -34.4752455),  (-58.5963696, -34.4753417)]"
28,"[(-58.5462394, -34.4504460),  (-58.5453791, -34.4511118),  (-58.5445852, -34.4517152),  (-58.5437803, -34.4523276),  (-58.5429643, -34.4529488),  (-58.5436825, -34.4535703),  (-58.5444768, -34.4529488),  (-58.5452710, -34.4523273),  (-58.5460425, -34.4530125),  (-58.5468044, -34.4523726),  (-58.5475775, -34.4517148),  (-58.5468816, -34.4510575),  (-58.5462394, -34.4504460)]"
29,"[(-58.5434124, -34.4500157),  (-58.5429991, -34.4503173),  (-58.5425142, -34.4506720),  (-58.5421193, -34.4508566),  (-58.5411209, -34.4513314),  (-58.5422246, -34.4523090),  (-58.5429643, -34.4529488),  (-58.5437803, -34.4523276),  (-58.5445852, -34.4517152),  (-58.5453791, -34.4511118),  (-58.5446176, -34.4504762),  (-58.5434124, -34.4500157)]"
30,"[(-58.5485010, -34.4486521),  (-58.5477068, -34.4492736),  (-58.5469564, -34.4498776),  (-58.5462394, -34.4504460),  (-58.5468816, -34.4510575),  (-58.5475775, -34.4517148),  (-58.5481447, -34.4522623),  (-58.5482840, -34.4523857),  (-58.5483302, -34.4525484),  (-58.5491456, -34.4519542),  (-58.5498009, -34.4514978),  (-58.5500214, -34.4513337),  (-58.5505887, -34.4509348),  (-58.5508697, -34.4507263),  (-58.5507517, -34.4506302),  (-58.5506122, -34.4505159),  (-58.5499264, -34.4499039),  (-58.5491760, -34.4492550),  (-58.5485010, -34.4486521)]"
31,"[(-58.5469574, -34.4473088),  (-58.5461685, -34.4479393),  (-58.5460033, -34.4480591),  (-58.5454187, -34.4485163),  (-58.5448293, -34.4489374),  (-58.5447409, -34.4490130),  (-58.5443879, -34.4492882),  (-58.5440572, -34.4495367),  (-58.5439525, -34.4496120),  (-58.5434124, -34.4500157),  (-58.5446176, -34.4504762),  (-58.5453791, -34.4511118),  (-58.5462394, -34.4504460),  (-58.5469564, -34.4498776),  (-58.5477068, -34.4492736),  (-58.5485010, -34.4486521),  (-58.5477721, -34.4480125),  (-58.5469574, -34.4473088)]"
32,"[(-58.5474972, -34.4299550),  (-58.5467734, -34.4302889),  (-58.5448510, -34.4310592),  (-58.5449840, -34.4315430),  (-58.5455468, -34.4313965),  (-58.5458252, -34.4316522),  (-58.5458656, -34.4318284),  (-58.5460017, -34.4318210),  (-58.5460650, -34.4319344),  (-58.5461135, -34.4319621),  (-58.5461202, -34.4322055),  (-58.5460216, -34.4322449),  (-58.5460840, -34.4324079),  (-58.5459249, -34.4324871),  (-58.5458211, -34.4325174),  (-58.5456740, -34.4325292),  (-58.5458798, -34.4325812),  (-58.5459920, -34.4326952),  (-58.5456698, -34.4330880),  (-58.5471652, -34.4340522),  (-58.5477122, -34.4345004),  (-58.5484297, -34.4351579),  (-58.5491689, -34.4358246),  (-58.5498973, -34.4364823),  (-58.5506255, -34.4371489),  (-58.5513969, -34.4365812),  (-58.5516593, -34.4368186),  (-58.5521040, -34.4372115),  (-58.5528004, -34.4378326),  (-58.5528433, -34.4378692),  (-58.5531541, -34.4381433),  (-58.5532719, -34.4382529),  (-58.5533468, -34.4383259),  (-58.5541513, -34.4377224),  (-58.5549228, -34.4371457),  (-58.5548156, -34.4370543),  (-58.5547461, -34.4369858),  (-58.5555345, -34.4363687),  (-58.5555560, -34.4363870),  (-58.5555989, -34.4364236),  (-58.5563819, -34.4358064),  (-58.5570774, -34.4352152),  (-58.5570131, -34.4351603),  (-58.5567667, -34.4349411),  (-58.5560165, -34.4342833),  (-58.5555128, -34.4338401),  (-58.5552876, -34.4336482),  (-58.5544306, -34.4328764),  (-58.5538072, -34.4333873),  (-58.5538042, -34.4335631),  (-58.5530270, -34.4328914),  (-58.5523787, -34.4323248),  (-58.5520304, -34.4320188),  (-58.5513337, -34.4314156),  (-58.5511407, -34.4312511),  (-58.5504113, -34.4319139),  (-58.5492290, -34.4307732),  (-58.5485838, -34.4309684),  (-58.5484516, -34.4310659),  (-58.5474972, -34.4299550)]"
33,"[(-58.5468532, -34.4420210),  (-58.5454243, -34.4409765),  (-58.5446636, -34.4415488),  (-58.5442611, -34.4412331),  (-58.5438168, -34.4414441),  (-58.5435818, -34.4418244),  (-58.5431849, -34.4421216),  (-58.5426741, -34.4424039),  (-58.5431728, -34.4428200),  (-58.5436021, -34.4431586),  (-58.5423745, -34.4436803),  (-58.5426346, -34.4437420),  (-58.5427631, -34.4438607),  (-58.5428327, -34.4439246),  (-58.5430575, -34.4441346),  (-58.5432883, -34.4443176),  (-58.5443845, -34.4450969),  (-58.5448782, -34.4454903),  (-58.5459828, -34.4445300),  (-58.5465351, -34.4440543),  (-58.5472310, -34.4434452),  (-58.5479271, -34.4428315),  (-58.5474443, -34.4424382),  (-58.5471440, -34.4421912),  (-58.5468532, -34.4420210)]"
34,"[(-58.5399376, -34.4346061),  (-58.5388822, -34.4336741),  (-58.5384507, -34.4340926),  (-58.5373072, -34.4354129),  (-58.5360840, -34.4369306),  (-58.5357848, -34.4372425),  (-58.5352213, -34.4377405),  (-58.5336212, -34.4390373),  (-58.5323096, -34.4400040),  (-58.5309773, -34.4409164),  (-58.5296311, -34.4416844),  (-58.5257893, -34.4433057),  (-58.5226521, -34.4444486),  (-58.5237835, -34.4456881),  (-58.5249910, -34.4450852),  (-58.5253911, -34.4449143),  (-58.5254313, -34.4447931),  (-58.5265371, -34.4443963),  (-58.5274027, -34.4440552),  (-58.5278082, -34.4438843),  (-58.5282026, -34.4437313),  (-58.5297101, -34.4430735),  (-58.5299373, -34.4428328),  (-58.5303653, -34.4426216),  (-58.5315045, -34.4446724),  (-58.5320085, -34.4444711),  (-58.5332788, -34.4455545),  (-58.5328686, -34.4456803),  (-58.5330027, -34.4457901),  (-58.5330883, -34.4458722),  (-58.5335600, -34.4456525),  (-58.5336309, -34.4456399),  (-58.5339860, -34.4455540),  (-58.5341827, -34.4455068),  (-58.5348597, -34.4453661),  (-58.5357156, -34.4452637),  (-58.5370738, -34.4450547),  (-58.5385685, -34.4448202),  (-58.5383858, -34.4446873),  (-58.5394659, -34.4445154),  (-58.5410647, -34.4442370),  (-58.5414199, -34.4441466),  (-58.5408547, -34.4428600),  (-58.5390499, -34.4415405),  (-58.5380941, -34.4408215),  (-58.5376655, -34.4404468),  (-58.5368404, -34.4397248),  (-58.5364867, -34.4394186),  (-58.5362670, -34.4392267),  (-58.5365142, -34.4390900),  (-58.5367019, -34.4389300),  (-58.5387669, -34.4365480),  (-58.5396426, -34.4349901),  (-58.5397498, -34.4347661),  (-58.5399376, -34.4346061)]"
35,"[(-58.5333007, -34.4499038),  (-58.5331750, -34.4499384),  (-58.5323795, -34.4503164),  (-58.5320285, -34.4504744),  (-58.5318201, -34.4505711),  (-58.5319276, -34.4506445),  (-58.5327995, -34.4511867),  (-58.5330261, -34.4512976),  (-58.5339972, -34.4517645),  (-58.5340619, -34.4517968),  (-58.5349309, -34.4521903),  (-58.5351846, -34.4523060),  (-58.5358864, -34.4526209),  (-58.5359944, -34.4526672),  (-58.5367392, -34.4530096),  (-58.5372143, -34.4532226),  (-58.5380561, -34.4536203),  (-58.5384978, -34.4532470),  (-58.5387407, -34.4530471),  (-58.5391102, -34.4527586),  (-58.5380476, -34.4522321),  (-58.5377887, -34.4521028),  (-58.5366021, -34.4515118),  (-58.5356960, -34.4510592),  (-58.5347734, -34.4506200),  (-58.5338509, -34.4501718),  (-58.5333007, -34.4499038)]"
36,"[(-58.5391102, -34.4527586),  (-58.5387407, -34.4530471),  (-58.5397050, -34.4539059),  (-58.5398429, -34.4541149),  (-58.5399603, -34.4542470),  (-58.5405602, -34.4547859),  (-58.5406138, -34.4548316),  (-58.5412996, -34.4554437),  (-58.5417592, -34.4559224),  (-58.5428703, -34.4555391),  (-58.5439292, -34.4550334),  (-58.5426286, -34.4544185),  (-58.5416299, -34.4539695),  (-58.5406478, -34.4535071),  (-58.5398165, -34.4531276),  (-58.5391102, -34.4527586)]"
37,"[(-58.5379454, -34.4537271),  (-58.5372540, -34.4543769),  (-58.5364186, -34.4551691),  (-58.5356584, -34.4557098),  (-58.5349047, -34.4561875),  (-58.5357781, -34.4566441),  (-58.5360584, -34.4567917),  (-58.5363120, -34.4569164),  (-58.5363929, -34.4569580),  (-58.5372317, -34.4569004),  (-58.5380927, -34.4568251),  (-58.5389482, -34.4567497),  (-58.5396520, -34.4566409),  (-58.5396163, -34.4565008),  (-58.5395648, -34.4563379),  (-58.5403569, -34.4561536),  (-58.5403135, -34.4558331),  (-58.5398546, -34.4553183),  (-58.5391097, -34.4546650),  (-58.5385190, -34.4542162),  (-58.5379454, -34.4537271)]"
38,"[(-58.5557136, -34.4430319),  (-58.5549419, -34.4436177),  (-58.5549200, -34.4436264),  (-58.5541368, -34.4442481),  (-58.5548655, -34.4448967),  (-58.5555943, -34.4455363),  (-58.5563443, -34.4462121),  (-58.5578737, -34.4449052),  (-58.5571604, -34.4443109),  (-58.5564423, -34.4436805),  (-58.5557136, -34.4430319)]"
39,"[(-58.5577754, -34.4344798),  (-58.5570131, -34.4351603),  (-58.5570774, -34.4352152),  (-58.5563819, -34.4358064),  (-58.5567674, -34.4361624),  (-58.5573137, -34.4366601),  (-58.5573243, -34.4366783),  (-58.5574423, -34.4367698),  (-58.5581975, -34.4374593),  (-58.5589102, -34.4380851),  (-58.5596934, -34.4374544),  (-58.5604871, -34.4368508),  (-58.5597635, -34.4362248),  (-58.5589868, -34.4355261),  (-58.5587077, -34.4353065),  (-58.5578557, -34.4345573),  (-58.5577754, -34.4344798)]"
40,"[(-58.5585379, -34.4337902),  (-58.5577754, -34.4344798),  (-58.5578557, -34.4345573),  (-58.5587077, -34.4353065),  (-58.5589868, -34.4355261),  (-58.5597635, -34.4362248),  (-58.5637383, -34.4331303),  (-58.5614183, -34.4313950),  (-58.5601417, -34.4325697),  (-58.5593905, -34.4332369),  (-58.5586505, -34.4338862),  (-58.5585379, -34.4337902)]"
41,"[(-58.5515916, -34.4501940),  (-58.5508697, -34.4507263),  (-58.5505887, -34.4509348),  (-58.5500214, -34.4513337),  (-58.5498009, -34.4514978),  (-58.5499189, -34.4515983),  (-58.5506687, -34.4519678),  (-58.5516240, -34.4524118),  (-58.5525413, -34.4528553),  (-58.5535445, -34.4533629),  (-58.5540129, -34.4527014),  (-58.5545986, -34.4518611),  (-58.5536446, -34.4513405),  (-58.5527497, -34.4508657),  (-58.5518329, -34.4503997),  (-58.5515916, -34.4501940)]"
